Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
26.05.2020,,40.46,,,,,,,,,,,,
27.05.2020,,40.66,,,,,,,,,,,,
28.05.2020,39.03,40,38.4,40,38.37,40,,1,5,137682,5,169325,6,
29.05.2020,,41,,,,,,,,,,173859,6,
01.06.2020,40.97,41.86,40.97,40.97,40.97,40.97,,1,1,28501,1,174722,6,
02.06.2020,43.27,43.27,43.27,43.27,43.27,43.27,5.61,1,1,29828,1,238624,8,
03.06.2020,,42.45,,,,,,,,,,232623,8,
04.06.2020,,43,,,,,,,,,,238789,8,
05.06.2020,,44.5,,,,,,,,,,243571,8,
08.06.2020,45.57,44.11,45.7,45.7,45,45,,1,5,342710,11,844354,28,
09.06.2020,42.24,43.5,44,44,38.35,43.5,-3.33,1,45,2576541,89,2921804,98,
10.06.2020,44.98,44.39,44.57,47.61,41.41,44,1.15,1,54,3960098,128,2931095,96,
11.06.2020,43.14,43,44.91,44.91,43,43,-2.27,2,11,450897,15,3475459,116,
15.06.2020,42.18,42.28,42.55,43.17,41.5,43.17,0.40,1,12,532039,18,4503541,152,
16.06.2020,43.84,42.71,43.72,44,43.72,43.81,1.48,2,6,213624,7,4459367,150,
17.06.2020,,43.67,,,,,,,,,,4568568,150,
18.06.2020,43.5,43.5,43.5,43.5,43.5,43.5,,1,1,30285,1,4603334,152,
19.06.2020,44.15,44.15,44.15,44.15,44.15,44.15,1.49,1,2,61320,2,4660282,152,
22.06.2020,,43.92,,,,,,,,,,4624956,152,
23.06.2020,44.91,44.72,44.42,45.59,44.42,45.59,,1,4,123277,4,4664982,152,
25.06.2020,42.58,43.01,43,43.57,42,43.01,-5.66,1,6,206140,7,4699538,158,
26.06.2020,,43.29,,,,,,,,,,4771930,158,
29.06.2020,42.63,44,42.01,44.5,41.4,44,,1,11,927922,31,4943523,160,
30.06.2020,,43.67,,,,,,,,,,4973446,160,
02.07.2020,45.12,44.05,45.12,45.12,45.12,45.12,,1,1,31809,1,4968699,160,
03.07.2020,,44.54,,,,,,,,,,5096538,160,
06.07.2020,45.28,45.03,45.53,45.53,45.03,45.03,,1,2,64817,2,5285617,164,
07.07.2020,45.1,45.5,44.5,45.5,44.5,45.5,1.04,1,3,96434,3,5448613,168,
08.07.2020,45.4,45.2,45.6,45.6,45.2,45.2,-0.66,1,2,64716,2,5476664,170,
09.07.2020,44.9,44.9,44.9,44.9,44.9,44.9,-0.66,1,1,31887,1,5420773,170,
10.07.2020,44.61,45.1,45.1,45.2,44.5,44.7,-0.44,1,16,1578256,50,5680840,178,
13.07.2020,45.51,45.6,45.34,45.6,45.34,45.6,2.01,1,3,96368,3,5729113,178,
14.07.2020,45.58,46.05,45.71,46.05,45.1,46.05,0.99,1,5,162146,5,6028504,184,
15.07.2020,46.25,45.88,46.48,46.5,45.88,45.88,-0.37,1,5,164069,5,6185019,190,
16.07.2020,46.43,46.2,46.65,46.9,46,46.2,0.70,1,6,198414,6,6514756,198,
17.07.2020,45.84,45.5,46.22,46.22,45.5,45.5,-1.52,1,3,98822,3,6539288,200,
20.07.2020,46,45.93,46.07,46.08,45.93,45.93,0.94,2,3,131445,4,6824366,208,
21.07.2020,46.63,46.7,46.63,46.63,46.63,46.63,1.52,1,1,32938,1,6861483,208,
22.07.2020,,46.06,,,,,,,,,,6820412,208,
23.07.2020,46.35,46.35,46.35,46.35,46.35,46.35,,1,1,33070,1,6878479,208,
24.07.2020,46.15,46.23,46.15,46.4,45.71,46.4,0.11,1,5,165501,5,6962472,210,
27.07.2020,46.2,46.2,46.21,46.21,46.2,46.2,-0.43,4,3,198979,6,7361973,222,
28.07.2020,46.56,46.79,46.45,46.79,46.44,46.79,1.28,1,5,169049,5,7610140,224,
29.07.2020,,46.62,,,,,,,,,,7567130,224,
30.07.2020,45.62,45.8,46.06,46.06,44.75,45.8,,1,12,537715,16,8232514,244,
31.07.2020,46.25,46.25,46.25,46.25,46.25,46.25,0.98,1,1,34347,1,8380602,244,
03.08.2020,46.51,46.7,46.54,46.7,45.92,46.7,0.97,1,6,204720,6,8291080,242,
04.08.2020,47.35,47.35,47.35,47.35,47.35,47.35,1.39,1,1,34882,1,8371757,240,
05.08.2020,48.27,48.31,48.22,48.31,48.22,48.31,2.03,1,2,70141,2,8424804,240,
