Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
13.12.2019,,77497,,,,,,,,,,,,
16.12.2019,,76984,,,,,,,,,,,,
17.12.2019,77538,77147,77538,77538,77538,77538,,1,1,77538,1,154294,2,
18.12.2019,,76957,,,,,,,,,,153914,2,
19.12.2019,77097,76682,76527,77383,76527,77383,,1,3,231291,3,306728,4,
20.12.2019,,76339,,,,,,,,,,305356,4,
23.12.2019,,76335,,,,,,,,,,305340,4,
24.12.2019,,75932,,,,,,,,,,303728,4,
25.12.2019,,75827,,,,,,,,,,303308,4,
26.12.2019,,76251,,,,,,,,,,305004,4,
27.12.2019,76413,76413,76413,76413,76413,76413,,1,1,76413,1,305652,4,
30.12.2019,,76562,,,,,,,,,,306248,4,
03.01.2020,,76313,,,,,,,,,,305252,4,
06.01.2020,76276,76276,76276,76276,76276,76276,,1,1,76276,1,457656,6,
08.01.2020,75739,75739,75739,75739,75739,75739,-0.70,1,1,75739,1,605912,8,
09.01.2020,,74985,,,,,,,,,,599880,8,
10.01.2020,75081,74780,75000,75473,74851,74851,,1,4,300324,4,897360,12,
13.01.2020,74671,74671,74671,74671,74671,74671,-0.24,1,1,74671,1,1045394,14,
14.01.2020,75050,75000,75100,75100,75000,75000,0.44,1,2,150100,2,1200000,16,
15.01.2020,,75552,,,,,,,,,,1208832,16,
16.01.2020,,75511,,,,,,,,,,1208176,16,
17.01.2020,75363,75260,74992,75733,74992,75733,,1,2,150725,2,1204160,16,
20.01.2020,,75057,,,,,,,,,,1200912,16,
21.01.2020,,75439,,,,,,,,,,1207024,16,
22.01.2020,75313,75430,75313,75313,75313,75313,,1,1,75313,1,1056020,14,
23.01.2020,,75254,,,,,,,,,,1053556,14,
24.01.2020,75000,75100,75000,75000,75000,75000,,1,1,75000,1,901200,12,
27.01.2020,,76179,,,,,,,,,,914148,12,
28.01.2020,,75361,,,,,,,,,,904332,12,
29.01.2020,,75804,,,,,,,,,,909648,12,
30.01.2020,,76652,,,,,,,,,,919824,12,
31.01.2020,,77179,,,,,,,,,,926148,12,
03.02.2020,76930,76851,76930,76930,76930,76930,,1,1,76930,1,922212,12,
04.02.2020,76218,76156,76260,76260,76175,76175,-0.98,2,2,304870,4,1218496,16,
05.02.2020,,75680,,,,,,,,,,1210880,16,
06.02.2020,,76071,,,,,,,,,,1217136,16,
07.02.2020,,76600,,,,,,,,,,1225600,16,
10.02.2020,,76633,,,,,,,,,,1226128,16,
11.02.2020,,75508,,,,,,,,,,1208128,16,
12.02.2020,,75172,,,,,,,,,,1202752,16,
13.02.2020,,75323,,,,,,,,,,1205168,16,
14.02.2020,,75306,,,,,,,,,,1204896,16,
17.02.2020,,75090,,,,,,,,,,1201440,16,
18.02.2020,,75429,,,,,,,,,,1206864,16,
19.02.2020,,74919,,,,,,,,,,1198704,16,
20.02.2020,,75500,,,,,,,,,,1208000,16,
21.02.2020,75900,75900,75900,75900,75900,75900,,1,1,75900,1,1214400,16,
25.02.2020,76270,76620,76270,76270,76270,76270,0.49,1,1,76270,1,1379160,18,
26.02.2020,,76977,,,,,,,,,,1385586,18,
27.02.2020,,79686,,,,,,,,,,1434348,18,
28.02.2020,80163,80143,79989,80500,79989,80000,,1,3,240489,3,1763146,22,
02.03.2020,79997,81102,79708,80143,79708,79875,-0.16,1,7,559981,7,2757468,34,
