Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
05.06.2020,,1703.6,,,,,,,,,,,,
08.06.2020,,1714.2,,,,,,,,,,,,
09.06.2020,,1741.4,,,,,,,,,,,,
10.06.2020,1799.6,1770,1814.8,1814.8,1770,1813.9,,1,3,371332,3,243488,2,
11.06.2020,,1775,,,,,,,,,,247351,2,
15.06.2020,1756.9,1740,1773.7,1773.7,1740.1,1740.1,,1,2,246237,2,243868,2,
16.06.2020,1740.1,1747.4,1740.1,1740.1,1740.1,1740.1,,1,1,121123,1,486524,4,
17.06.2020,,1752.4,,,,,,,,,,488876,4,
18.06.2020,,1762.4,,,,,,,,,,490799,4,
19.06.2020,,1758.8,,,,,,,,,,488556,4,
22.06.2020,1768.9,1785.1,1765.5,1774,1761.7,1770.6,,1,8,980353,8,2226059,18,
23.06.2020,1772.5,1786.1,1764.4,1780.7,1764.4,1780.7,0.57,1,5,608206,5,2696702,22,
25.06.2020,1779.2,1783.4,1780.1,1781,1777,1778.9,-0.10,1,6,738231,6,3699974,30,
26.06.2020,,1793.6,,,,,,,,,,3754017,30,
29.06.2020,1785.4,1790,1780.8,1790,1780.8,1790,,1,2,250743,2,4273620,34,
30.06.2020,1791.7,1799.4,1799.3,1799.3,1785,1796.7,0.37,1,5,765207,6,5379369,42,
02.07.2020,1785.8,1788,1790,1790,1782.5,1782.5,-0.79,1,3,377693,3,5798319,46,
03.07.2020,,1798.1,,,,,,,,,,5915299,46,
06.07.2020,1798.2,1798.2,1798.2,1798.2,1798.2,1798.2,,1,1,128703,1,5920327,46,
07.07.2020,1797,1829.2,1787,1807,1787,1807,0.49,1,2,256179,2,6258463,48,
08.07.2020,1809.4,1813.7,1807.9,1813.7,1807.9,1813.7,0.37,1,2,515836,4,7239060,56,
09.07.2020,1815.2,1810.8,1823.9,1823.9,1810.8,1810.8,-0.16,1,3,515637,4,7973118,62,
10.07.2020,,1819.3,,,,,,,,,,7982006,62,
13.07.2020,,1824.3,,,,,,,,,,7983449,62,
14.07.2020,1807.4,1811.5,1805.4,1807.7,1805.4,1807.7,,5,3,900135,7,9537447,74,
15.07.2020,,1827.6,,,,,,,,,,9595705,74,
16.07.2020,1811.6,1826.1,1811.6,1811.6,1811.6,1811.6,,1,2,258038,2,9623815,74,
17.07.2020,,1827,,,,,,,,,,9715369,74,
20.07.2020,,1834.5,,,,,,,,,,9697326,74,
21.07.2020,1841.7,1850,1825.2,1850,1825.2,1850,,1,3,390281,3,9931689,76,
22.07.2020,1865.8,1871,1856.5,1872,1856.5,1871,1.14,1,5,664124,5,9856637,74,
23.07.2020,1893.9,1902.8,1880,1900.6,1876.5,1891.2,1.08,1,9,1756585,13,11946898,88,
24.07.2020,1903.4,1906.4,1903.7,1903.7,1903,1903.5,0.65,3,3,682542,5,12304865,90,
27.07.2020,1954.1,1951.7,1939.1,1967.1,1939.1,1951.7,2.53,1,12,1823424,13,13728983,98,
28.07.2020,1953.6,1963.7,1940,1970,1938.5,1963.7,0.62,1,7,992945,7,15113765,106,
29.07.2020,1971.1,1964.9,1969,1981.8,1958.8,1958.8,-0.25,1,16,2428082,17,17085694,120,
30.07.2020,1967.1,1953.1,1981.4,1984.8,1953,1953,-0.30,1,16,2318595,16,19567732,136,
31.07.2020,1984.2,1983.2,1956.1,2012.6,1956.1,1981.6,1.46,2,11,2504950,17,23564605,160,
03.08.2020,1983,1980,1980,1988.6,1980,1980,-0.08,2,5,1163806,8,24113049,166,
04.08.2020,1983.9,2001,1965,2001,1960,2001,1.06,2,21,3507592,24,24175547,164,
05.08.2020,2043.3,2052,2019,2057.7,2019,2051.3,2.51,1,14,2227083,15,23260202,156,
06.08.2020,2073.2,2077.4,2055.6,2080,2048,2077.4,1.27,1,14,2740597,18,25020675,164,
07.08.2020,2071.9,2050,2085.9,2090.9,2048,2048,-1.42,1,26,4120283,27,26271848,174,
10.08.2020,2055.2,2060,2042,2075.9,2030,2060,0.59,1,25,5745290,38,26065267,172,
11.08.2020,1989.9,1969,2047.7,2055,1963.4,1969,-4.42,1,47,9151584,63,22711037,158,
12.08.2020,1956.9,1964.8,1977.6,1977.6,1924.7,1964.8,-0.21,5,45,9353612,65,27451424,190,
13.08.2020,1953.4,1966,1963,1966,1941,1966,0.06,5,18,3570207,25,24433554,170,
14.08.2020,1979.3,1978,1979.5,1991,1971,1978.6,0.64,4,9,2308464,16,23645841,164,
17.08.2020,1998.1,2011.9,1983,2015,1983,2015,1.84,1,17,3523029,24,26604761,180,
18.08.2020,2022.2,2014,2018.1,2030,2003.2,2014,-0.05,1,15,2517310,17,26250756,178,
