Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
15.12.2020,,23468,,,,,,,,,,,,
16.12.2020,,23351,,,,,,,,,,,,
17.12.2020,,23479,,,,,,,,,,,,
18.12.2020,,23495,,,,,,,,,,,,
21.12.2020,23342,23118,23623,23770,23000,23000,,2,7,210082,9,323652,14,
22.12.2020,23453,23166,23410,23843,23166,23166,0.72,1,14,445613,19,787644,34,
23.12.2020,23499,23669,23044,23689,23044,23669,2.17,1,7,164491,7,946760,40,
24.12.2020,,23667,,,,,,,,,,946680,40,
25.12.2020,,23772,,,,,,,,,,950880,40,
28.12.2020,23769,23989,24016,24016,23400,23990,,1,8,237693,10,1151472,48,
29.12.2020,,23800,,,,,,,,,,1142400,48,
30.12.2020,24004,24134,24000,24121,23900,24121,,10,16,1320225,55,2896080,120,
04.01.2021,24273,24354,24211,24355,24056,24355,0.97,2,12,776733,32,2727648,112,
05.01.2021,24442,24500,24600,24600,24350,24500,0.60,1,6,146650,6,2891000,118,
06.01.2021,,25211,,,,,,,,,,2974898,118,
08.01.2021,26049,26225,25617,26300,25617,26300,,3,19,1224303,47,4563150,174,
11.01.2021,26551,26087,26360,26735,25970,25970,-1.26,3,14,769992,29,5478270,210,
12.01.2021,26013,25612,26184,26345,25657,25657,-1.20,1,11,832426,32,4251592,166,
13.01.2021,25541,25645,25440,25645,25440,25645,-0.05,1,4,127704,5,4308360,168,
14.01.2021,26184,26154,26201,26251,26154,26154,1.98,1,4,209470,8,4341564,166,
15.01.2021,25818,25550,26223,26345,25550,25550,-2.31,15,12,1265079,49,4190200,164,
18.01.2021,25550,25700,25550,25550,25550,25550,,1,1,25550,1,4266200,166,
19.01.2021,25831,25700,25803,25953,25700,25700,0.59,1,7,180817,7,4523200,176,
20.01.2021,26230,26235,25899,26330,25899,26243,2.11,1,15,603279,23,5194530,198,
21.01.2021,26161,26167,26451,26489,25888,26274,0.12,1,18,1098755,42,4762394,182,
22.01.2021,25951,26001,26202,26202,25682,26001,-1.04,1,15,415214,16,4368168,168,
25.01.2021,25901,25860,25973,25973,25828,25860,-0.54,1,5,129503,5,4344480,168,
26.01.2021,25637,25522,26219,26219,25444,25444,-1.61,1,9,384558,15,4185608,164,
27.01.2021,25244,25002,25444,25444,25000,25002,-1.74,2,13,378653,15,4600368,184,
28.01.2021,24757,24995,25000,25023,24607,24995,-0.03,1,15,544654,22,4899020,196,
29.01.2021,24933,24525,24996,25138,24525,24525,-1.88,1,7,349055,14,5101200,208,
01.02.2021,24787,24683,24500,26904,24356,24683,0.64,5,107,9617389,388,17080636,692,
02.02.2021,24921,24848,24490,25120,24490,24848,0.67,1,12,348899,14,17095424,688,
03.02.2021,25033,25299,25028,25299,24870,25299,1.82,2,9,325435,13,17658702,698,
04.02.2021,25587,25615,25029,25621,25029,25615,1.25,1,23,1228153,48,17776810,694,
05.02.2021,25162,25350,25477,25590,25000,25350,-1.04,1,32,2289752,91,19418100,766,
08.02.2021,25574,25600,25350,25871,25350,25600,0.99,4,7,255741,10,19200000,750,
09.02.2021,25464,25400,26049,26049,25400,25400,-0.78,1,21,967641,38,20828000,820,
10.02.2021,25420,25370,25395,25500,25310,25370,-0.12,10,9,788015,31,22021160,868,
11.02.2021,25554,25332,25468,25575,25152,25253,-0.46,1,16,3040918,119,26750592,1056,
12.02.2021,25118,25262,25359,25359,24700,25262,0.04,1,33,1180561,47,26373528,1044,
15.02.2021,25803,26000,25487,26000,25487,26000,2.92,2,30,1857798,72,25896000,996,
16.02.2021,26023,26000,26300,26320,25795,26000,,1,104,9133943,351,22724000,874,
17.02.2021,26182,26199,26000,26300,25950,26203,0.78,1,19,654543,25,22583538,862,
18.02.2021,26293,26375,26056,26474,26056,26362,0.61,1,24,1235771,47,23104500,876,
19.02.2021,26884,27559,26355,27680,26057,27600,4.70,1,144,8011547,298,32519620,1180,
20.02.2021,27098,26690,27771,27771,26391,26778,-2.98,1,150,9050851,334,29679280,1112,
22.02.2021,26017,25802,26620,26927,25575,25800,-3.65,11,158,11187124,430,38548188,1494,
24.02.2021,25588,24888,25586,26199,24832,24879,-3.57,4,261,17272154,675,61124928,2456,
25.02.2021,23994,23480,24801,25001,23369,23369,-6.07,5,969,63032032,2627,116179040,4948,
26.02.2021,23398,23292,23363,23900,22722,23351,-0.08,1,522,30932203,1322,143711640,6170,
01.03.2021,23872,24160,23500,24374,23371,24200,3.64,1,790,50967215,2135,166172480,6878,
02.03.2021,24076,23730,24207,24418,23582,23730,-1.94,1,631,48730328,2024,196579320,8284,
03.03.2021,23568,23232,23817,24056,23140,23242,-2.06,8,589,64812103,2750,271117440,11670,
04.03.2021,22687,22560,23246,23342,22273,22573,-2.88,1,888,78951064,3480,329330880,14598,
05.03.2021,22302,22210,22550,22700,22018,22307,-1.18,3,1299,76875694,3447,395160320,17792,
09.03.2021,22790,22779,22200,23343,22135,22653,1.55,1,2066,168893647,7411,497356686,21834,
10.03.2021,23120,22960,22801,23520,22801,23157,2.22,2,1338,135480914,5860,659824480,28738,
11.03.2021,23240,23225,23048,23472,23023,23250,0.40,1,816,63699824,2741,717002200,30872,
12.03.2021,23434,23550,23273,23724,23212,23566,1.36,3,1313,94252848,4022,754306500,32030,
15.03.2021,24121,24042,23649,24451,23501,24061,2.10,2,4539,403064683,16710,1187770968,49404,
16.03.2021,23011,22891,24002,24285,22160,22849,-5.04,3,15717,1279034491,55572,1720487560,75160,
17.03.2021,22480,22618,22940,23055,22159,22610,-1.05,2,9975,729798982,32465,2019742164,89298,
18.03.2021,22944,22862,22610,23150,22552,22845,1.04,2,19990,2014041132,87756,4300387924,188102,
19.03.2021,22782,22758,22886,23270,22500,22807,-0.17,4,7908,735919720,32302,4330892916,190302,
22.03.2021,22704,22824,22758,22898,22505,22850,0.19,11,7230,609388990,26841,4356553824,190876,
23.03.2021,22508,22281,22849,22900,22229,22368,-2.11,1,7279,652540386,28991,4325054034,194114,
24.03.2021,21659,21376,22315,22413,21250,21415,-4.26,1,15163,1359725944,62780,4243221504,198504,
25.03.2021,21167,21037,21414,21495,20902,20970,-2.08,1,12563,1011929289,47808,4192253360,199280,
26.03.2021,21679,22092,20968,22200,20940,22055,5.17,10,13827,1197103135,55220,4599068376,208178,
29.03.2021,23005,23051,22042,23485,21863,23069,4.60,7,21523,2186026281,95024,5119212182,222082,
