Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
08.06.2020,,51819,,,,,,,,,,,,
09.06.2020,,52024,,,,,,,,,,,,
10.06.2020,,51381,,,,,,,,,,,,
11.06.2020,,51168,,,,,,,,,,,,
15.06.2020,,50602,,,,,,,,,,,,
16.06.2020,,52099,,,,,,,,,,,,
17.06.2020,,51304,,,,,,,,,,,,
18.06.2020,,51543,,,,,,,,,,,,
19.06.2020,,52240,,,,,,,,,,,,
22.06.2020,,52323,,,,,,,,,,,,
23.06.2020,,52494,,,,,,,,,,,,
25.06.2020,,51508,,,,,,,,,,,,
26.06.2020,,50987,,,,,,,,,,,,
29.06.2020,,50920,,,,,,,,,,,,
30.06.2020,,50909,,,,,,,,,,,,
02.07.2020,,51858,,,,,,,,,,,,
03.07.2020,,52001,,,,,,,,,,,,
06.07.2020,,52667,,,,,,,,,,,,
07.07.2020,,52543,,,,,,,,,,,,
08.07.2020,,52000,,,,,,,,,,,,
09.07.2020,,49074,,,,,,,,,,,,
10.07.2020,,49368,,,,,,,,,,,,
13.07.2020,,48660,,,,,,,,,,,,
14.07.2020,,48998,,,,,,,,,,,,
15.07.2020,,48601,,,,,,,,,,,,
16.07.2020,,51570,,,,,,,,,,,,
17.07.2020,,51420,,,,,,,,,,,,
20.07.2020,,51223,,,,,,,,,,,,
21.07.2020,,51618,,,,,,,,,,,,
22.07.2020,,52228,,,,,,,,,,,,
23.07.2020,,51969,,,,,,,,,,,,
24.07.2020,,51630,,,,,,,,,,,,
27.07.2020,,51984,,,,,,,,,,,,
28.07.2020,,52201,,,,,,,,,,,,
29.07.2020,,53209,,,,,,,,,,,,
30.07.2020,,52786,,,,,,,,,,,,
31.07.2020,,52569,,,,,,,,,,,,
03.08.2020,52000,52390,52000,52000,52000,52000,,1,1,52000,1,104780,2,
04.08.2020,,51938,,,,,,,,,,103876,2,
05.08.2020,,53388,,,,,,,,,,106776,2,
06.08.2020,,52819,,,,,,,,,,105638,2,
07.08.2020,,52644,,,,,,,,,,105288,2,
10.08.2020,,52891,,,,,,,,,,105782,2,
11.08.2020,,53699,,,,,,,,,,107398,2,
12.08.2020,,54236,,,,,,,,,,108472,2,
13.08.2020,,54513,,,,,,,,,,109026,2,
14.08.2020,,54745,,,,,,,,,,109490,2,
17.08.2020,,54337,,,,,,,,,,108674,2,
18.08.2020,,54603,,,,,,,,,,109206,2,
19.08.2020,,54516,,,,,,,,,,109032,2,
20.08.2020,,52888,,,,,,,,,,105776,2,
21.08.2020,,52691,,,,,,,,,,105382,2,
24.08.2020,,53394,,,,,,,,,,106788,2,
25.08.2020,,53827,,,,,,,,,,107654,2,
26.08.2020,,54495,,,,,,,,,,108990,2,
27.08.2020,,53571,,,,,,,,,,107142,2,
28.08.2020,,52531,,,,,,,,,,105062,2,
31.08.2020,,51396,,,,,,,,,,102792,2,
01.09.2020,,50960,,,,,,,,,,101920,2,
02.09.2020,49508,50000,49015,50000,49015,50000,,1,2,99015,2,100000,2,
03.09.2020,,49666,,,,,,,,,,99332,2,
04.09.2020,,49979,,,,,,,,,,99958,2,
07.09.2020,,49544,,,,,,,,,,99088,2,
08.09.2020,47442,48857,47442,47442,47442,47442,,1,1,47442,1,97714,2,
09.09.2020,,48242,,,,,,,,,,96484,2,
10.09.2020,,48088,,,,,,,,,,96176,2,
11.09.2020,48652,48652,48652,48652,48652,48652,,1,2,97304,2,194608,4,
14.09.2020,,48894,,,,,,,,,,195576,4,
15.09.2020,,50256,,,,,,,,,,201024,4,
16.09.2020,,49946,,,,,,,,,,199784,4,
17.09.2020,49500,49273,49500,49500,49500,49500,,1,1,49500,1,295638,6,
18.09.2020,,48211,,,,,,,,,,289266,6,
21.09.2020,47360,46517,47360,47360,47360,47360,,1,1,47360,1,372136,8,
22.09.2020,,46483,,,,,,,,,,371864,8,
23.09.2020,,46204,,,,,,,,,,369632,8,
24.09.2020,,46936,,,,,,,,,,375488,8,
25.09.2020,,47092,,,,,,,,,,376736,8,
28.09.2020,,47605,,,,,,,,,,380840,8,
29.09.2020,,46433,,,,,,,,,,371464,8,
30.09.2020,,46369,,,,,,,,,,370952,8,
01.10.2020,,45486,,,,,,,,,,363888,8,
02.10.2020,46072,45648,46072,46072,46072,46072,,1,1,46072,1,456480,10,
05.10.2020,45822,45825,45817,45825,45817,45825,-0.54,2,2,137467,3,733200,16,
06.10.2020,,46581,,,,,,,,,,745296,16,
07.10.2020,,46000,,,,,,,,,,736000,16,
08.10.2020,,46083,,,,,,,,,,737328,16,
09.10.2020,,45818,,,,,,,,,,733088,16,
12.10.2020,,45773,,,,,,,,,,732368,16,
13.10.2020,45425,45042,45425,45425,45425,45425,,1,1,45425,1,810756,18,
14.10.2020,,44676,,,,,,,,,,804168,18,
15.10.2020,44100,44100,44100,44100,44100,44100,,1,1,44100,1,882000,20,
16.10.2020,,43849,,,,,,,,,,876980,20,
19.10.2020,43465,43465,43465,43465,43465,43465,,1,1,43465,1,956230,22,
20.10.2020,,43841,,,,,,,,,,964502,22,
21.10.2020,,43360,,,,,,,,,,953920,22,
