Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
04.06.2020,,272075,,,,,,,,,,,,
05.06.2020,,275875,,,,,,,,,,,,
08.06.2020,,276000,,,,,,,,,,,,
09.06.2020,,274325,,,,,,,,,,,,
10.06.2020,,272800,,,,,,,,,,,,
11.06.2020,,268325,,,,,,,,,,,,
15.06.2020,,268075,,,,,,,,,,,,
16.06.2020,,271825,,,,,,,,,,,,
17.06.2020,,269375,,,,,,,,,,,,
18.06.2020,,267150,,,,,,,,,,,,
19.06.2020,,268625,,,,,,,,,,,,
22.06.2020,,269025,,,,,,,,,,,,
23.06.2020,,273375,,,,,,,,,,,,
25.06.2020,,270025,,,,,,,,,,,,
26.06.2020,,268400,,,,,,,,,,,,
29.06.2020,,269275,,,,,,,,,,,,
30.06.2020,,268800,,,,,,,,,,,,
02.07.2020,,271050,,,,,,,,,,,,
03.07.2020,,273075,,,,,,,,,,,,
06.07.2020,,280450,,,,,,,,,,,,
07.07.2020,,279800,,,,,,,,,,,,
08.07.2020,,279100,,,,,,,,,,,,
09.07.2020,,276625,,,,,,,,,,,,
10.07.2020,,279225,,,,,,,,,,,,
13.07.2020,,276025,,,,,,,,,,,,
14.07.2020,,273800,,,,,,,,,,,,
15.07.2020,,276700,,,,,,,,,,,,
16.07.2020,,277700,,,,,,,,,,,,
17.07.2020,,279275,,,,,,,,,,,,
20.07.2020,,282225,,,,,,,,,,,,
21.07.2020,,284650,,,,,,,,,,,,
22.07.2020,,285200,,,,,,,,,,,,
23.07.2020,,287125,,,,,,,,,,,,
24.07.2020,,287800,,,,,,,,,,,,
27.07.2020,,290275,,,,,,,,,,,,
28.07.2020,,291300,,,,,,,,,,,,
29.07.2020,,293600,,,,,,,,,,,,
30.07.2020,,290225,,,,,,,,,,,,
31.07.2020,,292450,,,,,,,,,,,,
03.08.2020,,294850,,,,,,,,,,,,
04.08.2020,,295600,,,,,,,,,,,,
05.08.2020,,300900,,,,,,,1,199188000,660,397188000,1320,
06.08.2020,,299900,,,,,,,,,,395868000,1320,
07.08.2020,,298925,,,,,,,,,,394581000,1320,
10.08.2020,,298250,,,,,,,,,,393690000,1320,
11.08.2020,,302325,,,,,,,,,,399069000,1320,
12.08.2020,,306225,,,,,,,,,,404217000,1320,
13.08.2020,,308625,,,,,,,,,,407385000,1320,
14.08.2020,,307475,,,,,,,,,,405867000,1320,
17.08.2020,,306375,,,,,,,,,,404415000,1320,
18.08.2020,,306325,,,,,,,,,,404349000,1320,
19.08.2020,,307550,,,,,,,,,,405966000,1320,
20.08.2020,,300900,,,,,,,,,,397188000,1320,
21.08.2020,,300475,,,,,,,,,,396627000,1320,
24.08.2020,,303975,,,,,,,,,,401247000,1320,
25.08.2020,,303825,,,,,,,,,,401049000,1320,
26.08.2020,,305975,,,,,,,,,,403887000,1320,
27.08.2020,,301975,,,,,,,,,,398607000,1320,
28.08.2020,,299350,,,,,,,,,,395142000,1320,
31.08.2020,,297100,,,,,,,,,,392172000,1320,
01.09.2020,,298350,,,,,,,,,,393822000,1320,
02.09.2020,295994,296200,293225,299900,292050,298800,,1,4,1183975,4,390984000,1320,
03.09.2020,,293650,,,,,,,,,,387618000,1320,
04.09.2020,,293800,,,,,,,,,,387816000,1320,
07.09.2020,291000,294450,293000,293000,289000,289000,,1,2,582000,2,388674000,1320,
08.09.2020,,289625,,,,,,,,,,382305000,1320,
09.09.2020,,288550,,,,,,,,,,380886000,1320,
10.09.2020,,289900,,,,,,,,,,382668000,1320,
11.09.2020,,291125,,,,,,,,,,384285000,1320,
14.09.2020,,293125,,,,,,,,,,386925000,1320,
15.09.2020,,298650,,,,,,,,,,394218000,1320,
16.09.2020,,298300,,,,,,,,,,393756000,1320,
17.09.2020,,296825,,,,,,,,,,391809000,1320,
18.09.2020,,295450,,,,,,,,,,389994000,1320,
21.09.2020,,286800,,,,,,,,,,378576000,1320,
22.09.2020,,289100,,,,,,,,,,381612000,1320,
23.09.2020,,291550,,,,,,,,,,384846000,1320,
24.09.2020,,291525,,,,,,,,,,384813000,1320,
25.09.2020,,289625,,,,,,,,,,382305000,1320,
28.09.2020,,293250,,,,,,,,,,387090000,1320,
29.09.2020,,291725,,,,,,,,,,385077000,1320,
30.09.2020,,291100,,,,,,,,,,384252000,1320,
01.10.2020,,288600,,,,,,,,,,380952000,1320,
