Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
19.11.2020,,2.606,,,,,,,,,,,,
20.11.2020,2.675,2.675,2.675,2.675,2.675,2.675,,1,1,20363,1,40726,2,
23.11.2020,,2.656,,,,,,,,,,40531,2,
24.11.2020,,2.708,,,,,,,,,,41061,2,
25.11.2020,2.714,2.714,2.714,2.714,2.714,2.714,,1,1,20587,1,82349,4,
26.11.2020,,2.732,,,,,,,,,,82729,4,
27.11.2020,,2.721,,,,,,,,,,82734,4,
30.11.2020,2.724,2.767,2.718,2.73,2.718,2.73,,1,2,41521,2,84354,4,
01.12.2020,,2.732,,,,,,,,,,82636,4,
02.12.2020,,2.75,,,,,,,,,,82824,4,
03.12.2020,2.626,2.515,2.712,2.712,2.511,2.511,,1,5,136735,7,261925,14,
04.12.2020,2.489,2.554,2.49,2.49,2.488,2.488,-0.92,1,4,312742,17,906032,48,
07.12.2020,2.47,2.459,2.488,2.488,2.459,2.459,-1.17,5,4,145342,8,1157620,64,
08.12.2020,,2.498,,,,,,,,,,1173601,64,
09.12.2020,2.559,2.559,2.559,2.559,2.559,2.559,,1,1,18816,1,1166565,62,
10.12.2020,2.66,2.654,2.66,2.66,2.66,2.66,3.95,1,1,19457,1,1164797,60,
11.12.2020,2.663,2.66,2.665,2.665,2.66,2.66,,1,3,77800,4,1165902,60,
14.12.2020,,2.724,,,,,,,,,,1197311,60,
15.12.2020,2.71,2.71,2.71,2.71,2.71,2.71,,1,1,19946,1,1236664,62,
16.12.2020,2.713,2.713,2.713,2.713,2.713,2.713,0.11,1,1,19970,1,1198201,60,
17.12.2020,2.748,2.756,2.717,2.758,2.717,2.756,1.58,1,5,300786,15,1286933,64,
18.12.2020,2.7,2.732,2.7,2.7,2.7,2.7,-2.03,1,1,19845,1,1285154,64,
21.12.2020,2.728,2.721,2.725,2.73,2.725,2.73,1.11,50,8,8190410,400,16586911,812,
22.12.2020,,2.797,,,,,,,,,,17132932,812,
