Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
26.06.2020,,838.3,,,,,,,,,,,,
29.06.2020,,845.5,,,,,,,,,,,,
30.06.2020,,851.1,,,,,,,,,,,,
02.07.2020,,847,,,,,,,,,,,,
03.07.2020,939,852.8,939,939,939,939,,1,1,67154,1,121978,2,
06.07.2020,,852.1,,,,,,,,,,121975,2,
07.07.2020,830,865.5,830,830,830,830,,1,1,59162,1,,,
08.07.2020,,884,,,,,,,,,,,,
09.07.2020,,898.2,,,,,,,,,,,,
10.07.2020,,879.8,,,,,,,,,,,,
13.07.2020,,872,,,,,,,,,,,,
14.07.2020,,898.6,,,,,,,,,,,,
15.07.2020,,865.4,,,,,,,,,,,,
16.07.2020,,866.5,,,,,,,,,,,,
17.07.2020,,878,,,,,,,,,,,,
20.07.2020,,879.1,,,,,,,,,,,,
21.07.2020,,926.6,,,,,,,,,,,,
22.07.2020,,946.5,,,,,,,,,,,,
23.07.2020,,967.3,,,,,,,,,,,,
24.07.2020,,960,,,,,,,,,,,,
27.07.2020,,985.1,,,,,,,,,,,,
28.07.2020,,1010.1,,,,,,,,,,,,
29.07.2020,,975,,,,,,,,,,,,
30.07.2020,,980.2,,,,,,,,,,,,
31.07.2020,,950,,,,,,,,,,,,
03.08.2020,,940,,,,,,,,,,,,
04.08.2020,,942.1,,,,,,,,,,,,
05.08.2020,1071.1,987.5,1071.1,1071.1,1071.1,1071.1,,1,2,155658,2,287018,4,
06.08.2020,1070,998.7,1070,1070,1070,1070,-0.10,1,1,78581,1,440070,6,
07.08.2020,,1007.2,,,,,,,,,,445097,6,
10.08.2020,921.1,1020,921.1,921.1,921.1,921.1,,1,1,67760,1,300142,4,
11.08.2020,,1016.6,,,,,,,,,,296855,4,
12.08.2020,,1000,,,,,,,,,,294139,4,
13.08.2020,900.1,1000,900.1,900.1,900.1,900.1,,4,1,263212,4,877274,12,
14.08.2020,,994.9,,,,,,,,,,870253,12,
17.08.2020,999.9,985.6,940,1049.8,940,1010,,1,3,220380,3,724071,10,
18.08.2020,1039.9,999.7,1034.8,1045,1034.8,1040,2.97,1,8,1218384,16,1317664,18,
19.08.2020,973.6,986,995.1,995.1,900.3,900.3,-13.43,1,6,427206,6,1153746,16,
20.08.2020,,951.1,,,,,,,,,,1127799,16,
21.08.2020,,955.6,,,,,,,,,,1143346,16,
24.08.2020,,961,,,,,,,,,,1145186,16,
25.08.2020,,946.4,,,,,,,,,,1139702,16,
26.08.2020,,962.5,,,,,,,,,,1162443,16,
27.08.2020,,972.1,,,,,,,,,,1169354,16,
28.08.2020,,960.7,,,,,,,,,,1141247,16,
31.08.2020,,960,,,,,,,,,,1140495,16,
01.09.2020,,980,,,,,,,,,,1152558,16,
02.09.2020,986.8,985.8,950.5,1023,950.5,1023,,1,2,149152,2,1192066,16,
03.09.2020,,933.9,,,,,,,,,,1127558,16,
04.09.2020,,931,,,,,,,,,,1125527,16,
07.09.2020,,940,,,,,,,,,,1140343,16,
08.09.2020,,930,,,,,,,,,,1137472,16,
09.09.2020,,932.1,,,,,,,,,,1124104,16,
10.09.2020,,957.3,,,,,,,,,,1150097,16,
11.09.2020,,957.5,,,,,,,,,,1148579,16,
14.09.2020,986.9,964.9,986.9,986.9,986.9,986.9,,1,1,74136,1,1159730,16,
15.09.2020,,979.7,,,,,,,,,,1175773,16,
16.09.2020,1023.1,1003.4,1021.3,1024.8,1021.3,1024.8,,1,2,153029,2,1200715,16,
17.09.2020,998.2,1003.5,998.2,998.2,998.2,998.2,-2.60,1,1,75114,1,1359226,18,
18.09.2020,1001,971.9,985.5,1036.7,972.8,1036.7,3.86,2,7,605227,8,1469136,20,
21.09.2020,967.2,940,982.2,1020.7,924.5,950,-8.36,2,21,2144196,29,3305538,46,
22.09.2020,953.4,897.9,953.4,953.4,953.4,953.4,0.36,1,1,72586,1,3144581,46,
23.09.2020,890.9,904.9,890.9,890.9,890.9,890.9,-6.56,1,1,68397,1,3056767,44,
24.09.2020,,891,,,,,,,,,,3027631,44,
25.09.2020,,885,,,,,,,,,,3047674,44,
28.09.2020,940,915,940,940,940,940,,1,1,74302,1,3182344,44,
29.09.2020,931.7,931.7,931.7,931.7,931.7,931.7,-0.88,1,1,73741,1,3244615,44,
30.09.2020,,928,,,,,,,,,,3170576,44,
01.10.2020,,921.2,,,,,,,,,,3140271,44,
02.10.2020,,922.9,,,,,,,,,,3177971,44,
