Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
14.06.2019,,123680,,,,,,,,,,,,
17.06.2019,,123910,,,,,,,,,,,,
18.06.2019,,124460,,,,,,,,,,,,
19.06.2019,,124750,,,,,,,,,,,,
20.06.2019,,127240,,,,,,,,,,,,
21.06.2019,,126620,,,,,,,,,,,,
24.06.2019,,127840,,,,,,,,,,,,
25.06.2019,,127440,,,,,,,,,,,,
26.06.2019,,127950,,,,,,,,,,,,
27.06.2019,,128080,,,,,,,,,,,,
28.06.2019,,127360,,,,,,,,,,,,
01.07.2019,128080,129390,125340,130820,125340,130820,,1,2,322354,2,325651,2,
02.07.2019,,128890,,,,,,,,,,326344,2,
03.07.2019,,129250,,,,,,,,,,328370,2,
04.07.2019,,130350,,,,,,,,,,330875,2,
05.07.2019,132745,129860,133500,133500,131600,131600,,5,11,12528052,74,331237,2,
08.07.2019,131740,130120,132700,132700,130750,130750,-0.65,5,5,3348528,20,330736,2,
09.07.2019,,129950,,,,,,,,,,331518,2,
10.07.2019,,130790,,,,,,,,,,330802,2,
11.07.2019,,130340,,,,,,,,,,327748,2,
12.07.2019,,129240,,,,,,,,,,326145,2,
15.07.2019,,129580,,,,,,,,,,324854,2,
16.07.2019,,128260,,,,,,,,,,322333,2,
17.07.2019,,128320,,,,,,,,,,322632,2,
18.07.2019,,127600,,,,,,,,,,322193,2,
19.07.2019,,127890,,,,,,,,,,322257,2,
22.07.2019,,126580,,,,,,,,,,319131,2,
23.07.2019,,126470,,,,,,,,,,320045,2,
24.07.2019,128477,126000,130480,130480,125100,129850,,1,3,486343,3,317979,2,
25.07.2019,125650,127450,125650,125650,125650,125650,-3.24,2,1,317427,2,965923,6,
26.07.2019,130490,127440,130490,130490,130490,130490,3.85,2,1,331220,2,970435,6,
29.07.2019,,127360,,,,,,,,,,970598,6,
30.07.2019,,126940,,,,,,,,,,968639,6,
31.07.2019,,127600,,,,,,,,,,971608,6,
01.08.2019,,126510,,,,,,,,,,969927,6,
02.08.2019,,122290,,,,,,,,,,958624,6,
05.08.2019,,121160,,,,,,,,,,946364,6,
06.08.2019,125000,121690,125000,125000,125000,125000,,1,1,163151,1,1270648,8,
07.08.2019,,120920,,,,,,,,,,1268828,8,
08.08.2019,,123080,,,,,,,,,,1282956,8,
09.08.2019,,121430,,,,,,,,,,1271411,8,
12.08.2019,,121240,,,,,,,,,,1272263,8,
13.08.2019,,121640,,,,,,,,,,1267800,8,
