Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
05.06.2020,,18.03,,,,,,,,,,,,
08.06.2020,,18.3,,,,,,,,,,,,
09.06.2020,,18.27,,,,,,,,,,,,
10.06.2020,,18.31,,,,,,,,,,,,
11.06.2020,,18.53,,,,,,,,,,,,
15.06.2020,18,18.03,18,18,18,18,,5,1,63069,5,126349,10,
16.06.2020,,17.99,,,,,,,,,,125223,10,
17.06.2020,,17.94,,,,,,,,,,125120,10,
18.06.2020,18.3,18.21,18.43,18.43,18.04,18.04,,1,3,38222,3,177492,14,
19.06.2020,,18.2,,,,,,,,,,176945,14,
22.06.2020,18.18,18.16,18.23,18.23,18.13,18.13,,1,6,327412,26,780026,62,
23.06.2020,18.13,18.2,18.16,18.16,18.1,18.15,0.11,5,8,759093,61,2173328,174,
25.06.2020,17.9,18.09,17.9,18.04,17.78,17.78,-2.04,1,3,272349,22,2702220,216,
26.06.2020,18,18.37,18,18,18,18,1.24,10,1,125580,10,3024618,236,
29.06.2020,18.15,18.17,18.13,18.17,18.13,18.17,0.94,1,2,25490,2,3036656,238,
30.06.2020,18.44,18.6,18.32,18.51,18.16,18.51,1.87,1,8,459307,35,4051247,306,
02.07.2020,18.25,18.36,18.5,18.5,18.15,18.36,-0.81,1,12,1196330,93,6083412,470,
03.07.2020,,18.57,,,,,,,,,,6241873,470,
06.07.2020,18.53,18.6,18.5,18.85,18.5,18.6,,1,5,172455,13,6416673,482,
07.07.2020,18.68,19.12,18.7,18.75,18.4,18.75,0.81,7,4,133129,10,6569014,482,
08.07.2020,18.79,19.01,18.75,19.01,18.75,19.01,1.39,1,8,616168,46,7777189,574,
09.07.2020,19.16,19.12,19.22,19.22,19.09,19.22,1.10,1,5,68042,5,7821256,576,
10.07.2020,19.02,18.91,19.01,19.19,18.91,18.91,-1.61,1,4,67311,5,7788085,582,
13.07.2020,19.37,19.36,19.53,19.53,19.26,19.26,1.85,1,3,41009,3,7953001,582,
14.07.2020,19.28,19.27,19.3,19.3,19.26,19.26,,1,2,27435,2,8034177,586,
15.07.2020,19.51,19.5,19.54,19.54,19.5,19.5,1.25,1,3,41535,3,8080002,584,
16.07.2020,19.61,19.5,19.68,19.68,19.5,19.5,,1,3,41905,3,8138104,586,
17.07.2020,,19.76,,,,,,,,,,8320966,586,
20.07.2020,19.98,20.1,19.72,20.1,19.67,20.1,,1,14,214122,15,8701039,606,
21.07.2020,20.78,21.56,20.1,21.67,20.1,21.3,5.97,1,24,1188998,81,10234244,672,
22.07.2020,22.52,23.13,22.88,23.21,21.8,22.56,5.92,1,61,1522733,95,11658218,708,
23.07.2020,22.99,23.48,23.02,23.34,22.58,23.12,2.48,1,19,524961,32,12363286,738,
24.07.2020,22.99,23.02,23.22,23.48,22.6,23,-0.52,1,30,1253314,76,12910179,782,
27.07.2020,24.42,24.55,23.09,25,23.09,24.55,6.74,1,17,560855,32,14308918,812,
28.07.2020,24.43,25.33,24.76,25.19,23.43,25.13,2.36,1,41,1773596,100,14934231,812,
29.07.2020,24.65,24.76,24.62,25.45,24.4,24.4,-2.90,1,34,1053795,59,15537443,866,
30.07.2020,23.79,23.7,25,25.1,23.4,23.7,-2.87,1,47,1314556,75,16830707,964,
