Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
14.06.2019,,71690,,,,,,,,,,,,
17.06.2019,,71553,,,,,,,,,,,,
18.06.2019,,71297,,,,,,,,,,,,
19.06.2019,,71074,,,,,,,,,,,,
20.06.2019,70671,70092,70956,70956,70295,70763,,1,3,212014,3,420552,6,
21.06.2019,70004,70447,69412,70573,69412,70573,-0.27,1,3,210013,3,563576,8,
24.06.2019,69225,69861,69315,69315,69046,69046,-2.16,1,3,207676,3,419166,6,
25.06.2019,69122,69878,68521,69722,68521,69722,0.98,1,2,138243,2,419268,6,
26.06.2019,,70134,,,,,,,,,,420804,6,
27.06.2019,,70157,,,,,,,,,,420942,6,
28.06.2019,,70117,,,,,,,,,,420702,6,
01.07.2019,69294,69903,69294,69294,69294,69294,,1,1,69294,1,559224,8,
02.07.2019,,70200,,,,,,,,,,561600,8,
03.07.2019,69500,70521,69500,69500,69500,69500,,1,1,69500,1,705210,10,
04.07.2019,,70301,,,,,,,,,,703010,10,
05.07.2019,70077,70863,70638,70672,69490,69490,,1,5,420460,6,850356,12,
08.07.2019,69648,69771,69648,69648,69648,69648,0.23,1,2,208944,3,976794,14,
09.07.2019,,70051,,,,,,,,,,980714,14,
10.07.2019,,69839,,,,,,,,,,977746,14,
11.07.2019,69125,69125,69125,69125,69125,69125,,1,1,69125,1,967750,14,
12.07.2019,,69300,,,,,,,,,,970200,14,
15.07.2019,68909,68969,68884,68969,68874,68969,,1,3,206727,3,1103504,16,
16.07.2019,,69045,,,,,,,,,,1104720,16,
17.07.2019,,69050,,,,,,,,,,1104800,16,
18.07.2019,69040,69040,69040,69040,69040,69040,,1,1,69040,1,1104640,16,
19.07.2019,,69274,,,,,,,,,,1108384,16,
22.07.2019,,69274,,,,,,,,,,1108384,16,
23.07.2019,69487,69582,69275,69698,69275,69698,,1,2,138973,2,1391640,20,
24.07.2019,69199,69199,69199,69199,69199,69199,-0.72,1,1,69199,1,1522378,22,
25.07.2019,,69943,,,,,,,,,,1538746,22,
26.07.2019,,69500,,,,,,,,,,1529000,22,
29.07.2019,,69300,,,,,,,,,,1524600,22,
30.07.2019,69350,69350,69350,69350,69350,69350,,1,1,69350,1,1525700,22,
31.07.2019,,69638,,,,,,,,,,1532036,22,
01.08.2019,,70399,,,,,,,,,,1548778,22,
02.08.2019,70450,70625,70450,70500,70400,70500,,1,3,211350,3,1977500,28,
05.08.2019,70881,70900,70862,70900,70862,70900,0.57,1,2,141762,2,1843400,26,
06.08.2019,,71334,,,,,,,,,,1854684,26,
07.08.2019,71198,71198,71198,71198,71198,71198,,1,1,71198,1,1993544,28,
08.08.2019,,71348,,,,,,,,,,1997744,28,
09.08.2019,,71500,,,,,,,,,,2002000,28,
12.08.2019,71400,71400,71400,71400,71400,71400,,1,1,71400,1,2142000,30,
13.08.2019,71169,71500,71500,71500,71001,71001,-0.56,1,3,213506,3,2002000,28,
14.08.2019,71474,71500,71448,71500,71448,71500,0.70,1,2,142948,2,2145000,30,
15.08.2019,71791,71801,71900,72100,70010,70010,-2.08,1,12,861497,12,3733652,52,
16.08.2019,72098,72400,71900,72400,71800,72400,3.41,1,5,360489,5,3764800,52,
19.08.2019,72660,72999,72601,72718,72601,72718,0.44,1,2,145319,2,4087944,56,
20.08.2019,72336,72999,72346,72346,72326,72326,-0.54,1,2,144672,2,4379940,60,
21.08.2019,71967,71800,72100,72100,71800,71800,-0.73,1,3,215900,3,4020800,56,
22.08.2019,71287,71275,71601,71601,71251,71275,-0.73,1,19,1710895,24,6984950,98,
23.08.2019,71231,71900,71151,71735,71101,71735,0.64,1,19,1353392,19,9059400,126,
26.08.2019,71501,71528,71501,71501,71501,71501,-0.33,1,1,71501,1,9155584,128,
27.08.2019,72000,72500,72000,72000,72000,72000,0.70,1,1,72000,1,9425000,130,
28.08.2019,72340,72260,72500,72500,72260,72260,0.36,1,3,217020,3,9827360,136,
29.08.2019,72043,72040,72074,72074,72029,72040,-0.30,1,5,360213,5,10517840,146,
30.08.2019,,72525,,,,,,,,,,10588650,146,
02.09.2019,,72525,,,,,,,,,,10588650,146,
03.09.2019,72160,72215,72160,72160,72160,72160,,1,1,72160,1,10687820,148,
04.09.2019,71916,71851,72011,72011,71800,71851,-0.43,1,4,287662,4,10490246,146,
05.09.2019,71284,71301,71501,71501,71150,71301,-0.76,3,12,997978,14,12121170,170,
06.09.2019,71301,71100,71501,71501,71100,71100,-0.28,1,2,142601,2,12087000,170,
09.09.2019,71074,71050,71100,71129,71000,71050,-0.07,1,18,1492561,21,10515400,148,
10.09.2019,71017,70726,71150,71150,70703,70726,-0.46,1,15,2627633,37,11599064,164,
11.09.2019,70668,70751,70651,70751,70601,70751,0.04,1,6,424005,6,12027670,170,
12.09.2019,70559,70251,70811,70851,70251,70251,-0.71,1,17,1270055,18,11661666,166,
13.09.2019,70113,69904,70101,70251,69600,69904,-0.49,1,24,4627465,66,4473856,64,
16.09.2019,69442,69600,69091,69815,69091,69600,-0.44,1,4,347208,5,4593600,66,
17.09.2019,69625,69919,69644,69919,69252,69919,0.46,1,10,696253,10,4894330,70,
18.09.2019,,69895,,,,,,,,,,4892650,70,
19.09.2019,69629,69487,69899,69899,69487,69487,,1,7,487403,7,5697934,82,
