Дата,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",
26.06.2020,,3666,,,,,,,,,,,,
29.06.2020,,3685,,,,,,,,,,,,
30.06.2020,,3661,,,,,,,,,,,,
02.07.2020,3611,3691,3506,3772,3506,3757,,1,4,57782,16,44292,12,
03.07.2020,3646,3700,3752,3752,3540,3540,-5.78,1,2,7292,2,51800,14,
06.07.2020,,3745,,,,,,,,,,52430,14,
07.07.2020,3600,3720,3600,3600,3600,3600,,1,2,7200,2,59520,16,
08.07.2020,,3679,,,,,,,,,,58864,16,
09.07.2020,3555,3647,3555,3555,3555,3555,,1,1,3555,1,65646,18,
10.07.2020,,3652,,,,,,,,,,65736,18,
13.07.2020,,3653,,,,,,,,,,65754,18,
14.07.2020,3493,3623,3505,3505,3480,3480,,1,2,6985,2,79706,22,
15.07.2020,3759,3626,3759,3759,3759,3759,8.02,1,1,3759,1,87024,24,
16.07.2020,3746,3612,3746,3746,3746,3746,-0.35,2,1,7492,2,101136,28,
17.07.2020,3515,3611,3371,3673,3371,3371,-10.01,1,3,73811,21,108330,30,
20.07.2020,3388,3761,3388,3388,3388,3388,0.50,2,1,6776,2,97786,26,
21.07.2020,3813,3867,3761,3968,3761,3968,17.12,1,4,15251,4,108276,28,
22.07.2020,,3799,,,,,,,,,,106372,28,
23.07.2020,3788,3876,3798,3798,3769,3769,,1,2,11365,3,108528,28,
24.07.2020,,3863,,,,,,,,,,108164,28,
27.07.2020,,3862,,,,,,,,,,108136,28,
28.07.2020,3808,3954,3868,3960,3650,3960,,9,3,72358,19,110712,28,
29.07.2020,,3960,,,,,,,,,,110880,28,
30.07.2020,3888,3850,3900,3954,3807,3807,,3,12,81649,21,223300,58,
31.07.2020,,3914,,,,,,,,,,227012,58,
03.08.2020,3961,3964,3961,3964,3961,3964,,1,4,47535,12,269552,68,
04.08.2020,4053,4083,3989,4084,3989,4083,3.00,3,7,44586,11,326640,80,
05.08.2020,4022,3992,3975,4143,3704,3887,-4.80,4,13,341912,85,694608,174,
06.08.2020,3832,3921,3880,3880,3751,3850,-0.95,4,8,88143,23,784200,200,
07.08.2020,,3799,,,,,,,,,,759800,200,
10.08.2020,3571,3706,3750,3750,3430,3665,,2,13,82126,23,689316,186,
11.08.2020,,3829,,,,,,,,,,712194,186,
12.08.2020,,3890,,,,,,,,,,723540,186,
13.08.2020,3907,3906,3908,3908,3906,3906,,1,2,11722,3,749952,192,
14.08.2020,3819,3909,3791,3927,3741,3914,0.20,1,12,103115,27,867798,222,
17.08.2020,3869,3909,3860,3945,3795,3909,-0.13,11,19,127674,33,797436,204,
18.08.2020,3814,3871,3865,3865,3800,3800,-2.79,1,7,125871,33,1021944,264,
19.08.2020,3747,3884,3795,3886,3603,3886,2.26,6,10,123657,33,1079752,278,
20.08.2020,3616,3700,3617,3617,3616,3616,-6.95,13,3,130179,36,910200,246,
21.08.2020,3727,3758,3700,3740,3700,3740,3.43,1,3,11180,3,947016,252,
24.08.2020,3755,3749,3765,3765,3749,3749,0.24,3,2,18777,5,967242,258,
25.08.2020,3641,3701,3641,3641,3641,3641,-2.88,1,1,3641,1,962260,260,
26.08.2020,,3717,,,,,,,,,,966420,260,
