moment,isin,name,contract_type,iz_fiz,clients_in_long,clients_in_short,short_position,long_position,change_prev_week_short_abs,change_prev_week_long_abs,change_prev_week_short_perc,change_prev_week_long_perc,
2020-12-29,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,1.0000,1468.0,744.00,218124,204951,21771,11248,0.11088,0.05807,
2020-12-29,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,,14.000,24.000,96445,34920,-224.00,2253.0,-0.00232,0.06897,
2020-12-29,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,C,,37.000,26.000,94282,107455,4353.0,14876,0.04840,0.16068,
2020-12-29,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,1.0000,13438,7424.0,248142,678545,-114748,-16870,-0.31621,-0.02426,
2020-12-29,Si,Опцион на Фьючерсный контракт на курс доллар США - российский рубль,P,1.0000,791.00,644.00,103062,164587,2276.0,-201.00,0.02258,-0.00122,
2020-12-29,Si,Фьючерсный контракт на курс доллар США - российский рубль,F,,213.00,145.00,923453,493050,84262,-13616,0.10041,-0.02687,
2020-12-29,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,1.0000,127.00,97.000,6815.0,6820.0,137.00,138.00,0.02052,0.02065,
2020-12-29,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,,34.000,46.000,108995,16930,-3035.0,-564.00,-0.02709,-0.03224,
2020-12-29,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,,5.0000,5.0000,3629.0,330.00,109.00,14.000,0.03097,0.04430,
2020-12-29,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",C,,9.0000,7.0000,2733.0,2728.0,1.0000,,0.00037,,
2020-12-29,GAZR,"Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",F,1.0000,2049.0,1117.0,25254,117319,-2654.0,-5125.0,-0.09510,-0.04186,
2020-12-29,GAZR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Газпром""",P,1.0000,94.000,75.000,4408.0,7707.0,268.00,363.00,0.06473,0.04943,
2020-12-29,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,,10.000,12.000,8190.0,2710.0,-215.00,19.000,-0.02558,0.00706,
2020-12-29,SNGR,"Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",F,1.0000,194.00,41.000,197.00,5677.0,-21.000,-255.00,-0.09633,-0.04299,
2020-12-29,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",C,,1.0000,1.0000,1400.0,1400.0,,,,,
2020-12-29,SNGR,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""Сургутнефтегаз""",P,,1.0000,1.0000,1400.0,1400.0,,,,,
2020-12-29,LKOH,"Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",F,1.0000,567.00,256.00,3578.0,14884,111.00,-1185.0,0.03202,-0.07374,
2020-12-29,LKOH,"Опцион на Фьючерсный контракт на обыкновенные акции ПАО ""НК ""ЛУКОЙЛ""",P,1.0000,6.0000,10.000,303.00,758.00,26.000,,0.09386,,
